"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Postsecondary teachers, all other    * Braille Teacher* Flight Simulator Teacher* Interdisciplinary Professor* Military Science Teacher* Project Management Professor","=""25-1199""","230.3","243.9","13.6","5.9","23.0","71,950","Doctoral or professional degree","1","None","4","None","6"
"Pourers and casters, metal    * Aluminum Pourer* Ingot Caster* Iron Pourer* Molten Iron Pourer* Steel Pourer* Tin Pourer* White Metal Caster","=""51-4052""","7.1","6.7","-0.4","-5.1","0.6","40,170","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Power distributors and dispatchers    * Power System Dispatcher* Steam Plant Control Room Operator* Steam and Power Panel Operator* Substation Operator","=""51-8012""","10.0","9.3","-0.7","-7.3","0.8","95,100","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Power plant operators    * Hydroelectric Plant Operator* Power Plant Control Room Operator* Powerhouse Operator* Turbine Room Attendant","=""51-8013""","33.6","29.0","-4.6","-13.6","2.5","84,650","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Precision instrument and equipment repairers, all other    * Gyroscope Repairer* Hydrometer Calibrator* Scale Adjuster* Telescope Repairer","=""49-9069""","11.4","12.0","0.6","5.6","1.3","61,420","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Prepress technicians and workers    * Digital Proofing and Platemaker* Electronic Pre-Press Technician* Photoengraver* Plate Mounter* Pre-Press Proofer* Prepress Stripper* Type Setter","=""51-5111""","28.2","23.3","-4.8","-17.1","3.0","41,410","Postsecondary nondegree award","5","None","4","None","6"
"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher","=""25-2011""","469.6","556.0","86.4","18.4","59.6","31,930","Associate's degree","4","None","4","None","6"
"Pressers, textile, garment, and related materials    * Clothes Ironer* Clothes Presser* Clothing Presser* Garment Presser* Pants Presser* Shirt Presser* Silk Presser* Wool Presser","=""51-6021""","30.3","27.0","-3.3","-10.8","2.6","25,580","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Print binding and finishing workers    * Bindery Cutter Operator* Bindery Folder Operator* Bindery Machine Operator* Bindery Worker* Book Repairer* Bookbinder* Bookbinding Machine Operator* Case Binder Operator* Foil Stamp Operator* Perfect Binder Operator* Saddle Stitch Operator* Saddle Stitcher Operator* Spiral Binder Operator","=""51-5113""","41.6","34.4","-7.3","-17.5","3.5","34,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Printing press operators    * Digital Press Operator* Flexographic Press Operator* Gravure Press Operator* Lithograph Press Operator* Lithographing Machine Operator* Offset Lithographic Press Setter and Set-Up Operator* Offset Press Operator* Printing Machine Operator* Screen Printing Machine Operator* Screen Printing Press Operator* Silk Screen Operator* Silk Screen Printer* Web Offset Press Feeder* Web Press Operator","=""51-5112""","160.9","144.9","-15.9","-9.9","14.7","37,880","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Private detectives and investigators    * Certified Legal Investigator* Licensed Private Investigator* Loss Prevention Detective* Private Detective* Private Eye* Private Investigator* Skip Tracer* Store Detective","=""33-9021""","33.7","38.1","4.4","13.2","3.5","53,320","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer","=""21-1092""","92.7","96.2","3.5","3.8","8.1","55,690","Bachelor's degree","3","None","4","Short-term on-the-job training","5"
"Procurement clerks    * Procurement Assistant* Procurement Clerk* Purchasing Assistant* Purchasing Clerk","=""43-3061""","63.0","59.8","-3.2","-5.1","5.2","44,740","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer","=""27-2012""","131.0","162.5","31.6","24.1","15.6","76,400","Bachelor's degree","3","Less than 5 years","2","None","6"
"Production workers, all other","=""51-9199""","203.6","220.3","16.7","8.2","24.6","31,420","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Production, planning, and expediting clerks    * Expeditor* Material Control Clerk* Material Expediter* Mill Recorder* Production Control Clerk* Production Control Coordinating Clerk* Production Control Coordinator* Production Scheduler* Work Ticket Distributor","=""43-5061""","365.7","393.6","27.9","7.6","41.0","49,640","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Project management specialists and business operations specialists, all other","=""13-1198""","1,777.3","1,876.5","99.2","5.6","141.9","77,420","Bachelor's degree","3","None","4","None","6"
"Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader","=""43-9081""","7.9","8.3","0.4","5.3","1.1","41,140","Bachelor's degree","3","None","4","None","6"
"Property appraisers and assessors","=""13-2020""","78.7","82.1","3.4","4.4","6.3","58,650","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Property, real estate, and community association managers    * Apartment Manager* Building Rental Manager* Community Association Manager* Condominium Association Manager* Homeowner Association Manager* Land Acquisition Manager* Leasing Property Manager* Property Manager* Real Estate Manager","=""11-9141""","364.1","375.5","11.4","3.1","29.1","59,660","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist","=""29-1024""","0.7","0.7","0.1","8.5","0.0",">=208,000","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Psychiatric aides","=""31-1133""","54.1","58.1","4.0","7.4","7.2","31,570","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Psychiatric technicians    * Behavioral Health Technician* Mental Health Technician* Psychiatric Technician","=""29-2053""","91.6","103.3","11.7","12.8","8.0","35,030","Postsecondary nondegree award","5","Less than 5 years","2","Short-term on-the-job training","5"
"Psychiatrists","=""29-1223""","28.1","31.6","3.5","12.5","1.2",">=208,000","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychometrist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist","=""19-3039""","55.2","56.3","1.1","2.0","3.7","105,780","Master's degree","2","None","4","Internship/residency","1"
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor","=""25-1066""","44.1","48.6","4.5","10.3","4.7","78,180","Doctoral or professional degree","1","None","4","None","6"
"Public relations and fundraising managers","=""11-2030""","89.0","100.3","11.3","12.6","8.9","118,430","Bachelor's degree","3","5 years or more","1","None","6"
"Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer","=""27-3031""","272.3","303.4","31.2","11.4","29.2","62,810","Bachelor's degree","3","None","4","None","6"
"Public safety telecommunicators    * 911 Dispatcher* 911 Operator* Ambulance Dispatcher* Emergency Communications Dispatcher* Emergency Communications Operator* Emergency Operator* Emergency Telecommunications Dispatcher* Fire Dispatcher* Police Dispatcher* Police Radio Dispatcher","=""43-5031""","95.4","103.2","7.8","8.2","9.8","43,290","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Pump operators, except wellhead pumpers    * Acid Pump Operator* Brewery Pumper* Concrete Pump Operator* Fluid Pump Operator","=""53-7072""","11.1","12.5","1.4","12.6","1.4","48,090","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager","=""11-3061""","74.4","79.0","4.6","6.1","6.3","125,940","Bachelor's degree","3","5 years or more","1","None","6"
"Radiation therapists    * Dosimetrist* Radiation Therapist* Radiation Therapy Technologist* Registered Radiation Therapist","=""29-1124""","17.7","19.3","1.6","9.1","1.1","86,850","Associate's degree","4","None","4","None","6"
"Radio, cellular, and tower equipment installers and repairers    * Radio Frequency Technician* Radio Mechanic* Radio Repairer* Two-Way Radio Technician","=""49-2021""","13.5","14.1","0.5","3.9","1.6","57,720","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician","=""29-2034""","212.1","230.3","18.3","8.6","17.4","61,900","Associate's degree","4","None","4","None","6"
"Rail car repairers    * Freight Car Repairer* Mine Car Mechanic* Rail Car Maintenance Mechanic* Rail Car Mechanic* Streetcar Repairer* Subway Car Repairer* Tank Car Reconditioner* Trolley Car Mechanic* Trolley Car Overhauler","=""49-3043""","21.1","22.2","1.1","5.2","2.2","57,710","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Rail transportation workers, all other    * Railway Equipment Operator* Retarder Operator* Transfer Table Operator","=""53-4099""","1.7","1.7","0.0","2.6","0.2","47,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rail yard engineers, dinkey operators, and hostlers    * Coal Tram Driver* Dinkey Driver* Dinkey Operator* Engine Hostler* Haulage Engine Operator* Railcar Switcher* Yard Hostler","=""53-4013""","4.2","4.3","0.0","0.8","0.4","51,720","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rail-track laying and maintenance equipment operators    * Ballast Cleaning Machine Operator* Rail Maintenance Worker* Railroad Track Mechanic* Track Layer* Track Machine Operator* Track Maintainer* Track Moving Machine Operator* Track Repair Worker* Track Repairer* Track Service Worker* Track Surfacing Machine Operator* Trackwalker","=""47-4061""","15.7","16.5","0.8","5.3","1.5","56,370","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Railroad brake, signal, and switch operators and locomotive firers","=""53-4022""","11.0","11.3","0.2","2.0","1.0","57,870","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Railroad conductors and yardmasters    * Freight Conductor* Passenger Car Conductor* Train Conductor* Yard Conductor","=""53-4031""","32.9","34.7","1.8","5.5","3.1","64,030","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Real estate brokers    * Licensed Real Estate Broker* Real Estate Broker","=""41-9021""","109.9","114.8","4.9","4.5","10.1","60,370","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent","=""41-9022""","408.9","425.8","16.9","4.1","37.4","49,040","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk","=""43-4171""","1,016.2","1,060.0","43.8","4.3","134.0","31,110","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor","=""25-1193""","17.0","18.2","1.2","6.8","1.7","66,290","Doctoral or professional degree","1","None","4","None","6"
"Recreation workers    * Activities Aide* Activities Assistant* Activities Coordinator* Activities Leader* Camp Counselor* Playground Worker* Recreation Activities Coordinator* Recreation Assistant* Recreational Aide","=""39-9032""","354.1","411.9","57.8","16.3","64.6","28,440","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist","=""29-1125""","20.8","23.0","2.2","10.4","1.9","47,710","Bachelor's degree","3","None","4","None","6"
"Recreational vehicle service technicians    * Master Certified RV Technician* Mobile Service Recreational Vehicle Technician* RV Mechanic* RV Servicer* RVDA Master Certified RV Technician* Recreational Vehicle (RV) Repairer* Recreational Vehicle Mechanic","=""49-3092""","15.4","18.1","2.7","17.2","2.2","40,520","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Refractory materials repairers, except brickmasons    * Bondactor Machine Operator* Cupola Repairer* Kiln Door Builder* Ladle Repairer* Refractory Repairer","=""49-9045""","0.8","0.6","-0.1","-14.5","0.0","54,610","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Refuse and recyclable material collectors    * Garbage Collector* Recyclable Materials Collector* Refuse Collector* Scrap Metal Collector* Solid Waste Collector* Trash Collector","=""53-7081""","140.5","157.2","16.7","11.9","21.4","39,100","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse","=""29-1141""","3,080.1","3,356.8","276.8","9.0","194.5","75,330","Bachelor's degree","3","None","4","None","6"
"Rehabilitation counselors    * Certified Rehabilitation Counselor* Coordinator of Rehabilitation Services* Psychosocial Rehabilitation Counselor* Rehabilitation Counselor* Veterans Rehabilitation Counselor* Vocational Rehabilitation Counselor","=""21-1015""","104.5","115.4","10.8","10.4","11.2","37,530","Master's degree","2","None","4","None","6"
"Reinforcing iron and rebar workers    * Post Tensioning Ironworker* Rebar Worker* Reinforcing Steel  Worker* Rod Buster* Steel Rod Buster* Steel Tier","=""47-2171""","22.1","23.2","1.2","5.3","2.2","49,390","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger","=""21-2099""","66.3","67.6","1.3","2.0","8.8","33,530","Bachelor's degree","3","None","4","None","6"
"Reservation and transportation ticket agents and travel clerks    * Airline Reservation Agent* Airline Reservationist* Airline Ticket Agent* Gate Agent* Hotel Reservationist* Passenger Agent* Passenger Booking Clerk* Reservation Agent* Reservation Sales Agent* Train Clerk* Train Reservation Clerk* Transportation Clerk* Travel Clerk","=""43-4181""","101.6","114.7","13.1","12.9","13.1","39,430","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Advisor* Residential Director* Residential Life Director* Sorority Mother","=""39-9041""","108.2","121.6","13.4","12.4","17.5","31,190","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist","=""29-1126""","135.1","166.2","31.1","23.0","10.1","62,810","Associate's degree","4","None","4","None","6"
"Retail salespersons    * Automotive Salesperson* Department Store Salesperson* Menswear Salesperson* New Car Salesperson* Pet Supplies Salesperson* Pets Salesperson* Shoe Salesperson* Used Car Salesperson* Women's Apparel Salesperson","=""41-2031""","3,835.0","3,795.7","-39.3","-1.0","524.5","27,080","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Riggers    * Acrobatic Rigger* Boat Rigger* Crane Rigger* Fly Rail Operator* Gantry Rigger* High Rigger* Marine Rigger* Parachute Rigger* Ship Rigger* Theatrical Rigger* Wire Rigger* Yacht Rigger* Yard Rigger","=""49-9096""","21.3","23.9","2.6","12.1","2.5","50,850","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rock splitters, quarry    * Quarry Plug and Feather Driller* Sandstone Splitter","=""47-5051""","4.6","4.9","0.3","6.0","0.6","37,130","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Rolling machine setters, operators, and tenders, metal and plastic    * Brass Roller* Forming Roll Operator* Metal Sheet Roller Operator* Pipe Straightener* Plastic Straightening Roll Operator* Steel Roller","=""51-4023""","34.5","32.4","-2.1","-6.1","3.0","43,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Roof bolters, mining","=""47-5043""","2.1","1.9","-0.1","-6.9","0.2","61,190","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Roofers    * Composition Roofer* Hot Tar Roofer* Industrial Roofer* Metal Roofing Mechanic* Residential Roofer* Roofer* Sheet Metal Roofer* Shingles Roofer* Slate Roofer* Terra Cotta Roofer","=""47-2181""","153.7","160.8","7.1","4.6","15.6","43,580","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Rotary drill operators, oil and gas    * Drilling Rig Operator* Natural Gas Shothole Driller* Oil Driller* Oil Rig Driller* Oil Well Cable Tool Driller* Oil Well Cable Tool Operator* Oil Well Driller* Prospecting Driller","=""47-5012""","15.2","19.2","4.0","26.4","2.4","53,820","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Roustabouts, oil and gas    * Oil Field Roustabout* Oil Rig Roughneck* Roustabout* Roustabout Pusher","=""47-5071""","43.5","56.4","12.9","29.5","7.2","39,420","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sailors and marine oilers    * Able Seaman* Deck Cadet* Deck Hand* Deckhand* Merchant Mariner* Merchant Seaman* Ordinary Seaman* Sailor* Vessel Ordinary Seaman","=""53-5011""","26.4","29.2","2.7","10.4","3.5","44,920","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sales and related workers, all other    * Auctioneer* Blood Donor Recruiter* Leaflet Distributor* Livestock Auctioneer* Personal Shopper* Store Gift Wrap Associate","=""41-9099""","172.6","175.5","2.9","1.7","22.5","30,550","High school diploma or equivalent","7","None","4","None","6"
"Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer","=""41-9031""","63.8","68.8","5.0","7.9","7.3","108,830","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager","=""11-2022""","397.9","425.8","27.9","7.0","37.0","132,290","Bachelor's degree","3","Less than 5 years","2","None","6"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","985.2","1,082.1","97.0","9.8","126.5","58,770","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Sales representatives, wholesale and manufacturing, except technical and scientific products    * Bottling Equipment Sales Representative* Freight Broker* Hotel Supplies Salesperson* Mortician Supplies Sales Representative* Pulpwood Dealer* Wholesale Diamond Broker","=""41-4012""","1,327.5","1,386.8","59.4","4.5","137.8","62,070","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson","=""41-4011""","298.2","316.5","18.2","6.1","31.7","86,650","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator","=""51-7041""","50.5","53.9","3.4","6.7","6.2","31,560","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"School bus monitors and protective service workers, all other","=""33-9098""","141.6","157.4","15.8","11.2","38.8","31,960","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher","=""25-2031""","998.8","1,077.0","78.2","7.8","77.4","62,870","Bachelor's degree","3","None","4","None","6"
"Secretaries and administrative assistants, except legal, medical, and executive    * Alumni Secretary* Department Secretary* Office Secretary* Personal Secretary* Real Estate Administrative Assistant* School Attendance Secretary* School Secretary","=""43-6014""","2,053.5","1,896.7","-156.9","-7.6","195.1","38,850","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader","=""41-3031""","466.3","485.8","19.5","4.2","42.5","64,770","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Security and fire alarm systems installers    * Alarm Adjuster* Alarm Technician* Burglar Alarm Installer* Fire Alarm Installer* Fire Alarm Technician* Home Security Alarm Installer","=""49-2098""","73.4","85.5","12.1","16.4","9.2","50,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer","=""33-9032""","1,059.0","1,213.2","154.2","14.6","163.6","31,050","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Self-enrichment teachers    * Ballet Teacher* CPR Instructor* Ceramics Instructor* Citizenship Teacher* Dance Teacher* Defensive Driving Instructor* Driver Education Instructor* Driving Instructor* First Aid Instructor* Horseback Riding Instructor* Judo Instructor* Karate Instructor* Knitting Teacher* Martial Arts Instructor* Sailing Instructor* Skiing Instructor* Snowboard Instructor* Theater Education Teacher","=""25-3021""","336.7","415.9","79.2","23.5","50.5","39,960","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Semiconductor processing technicians    * Electronic Semiconductor Processor* Semiconductor Assembler* Wafer Fabricator","=""51-9141""","33.2","32.6","-0.6","-1.7","3.5","40,500","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders    * Brewmaster* Fermentation Operator* Fermenter* Linseed Oil Temperer* Milk Pasteurizer* Milk Processor* Molasses Preparer* Pasteurizer* Winemaker","=""51-9012""","49.6","52.1","2.5","5.0","5.3","43,100","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Septic tank servicers and sewer pipe cleaners    * Electric Sewer Cleaning Machine Operator* Septic Pump Truck Driver* Septic Tank Cleaner* Sewage Screen Operator* Sewer Cleaner* Sewer Pipe Cleaner* Sewer and Drain Technician","=""47-4071""","30.4","34.8","4.4","14.3","4.2","41,120","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Service unit operators, oil and gas    * Oil Well Fishing-Tool Technician* Well Service Pump Equipment Operator* Well Service Rig Operator* Well Services Operator* Well Servicing Rig Operator","=""47-5013""","43.1","52.9","9.8","22.9","6.6","47,380","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer","=""27-1027""","29.7","32.4","2.7","9.1","3.1","58,180","Bachelor's degree","3","None","4","None","6"
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver","=""51-6051""","6.9","6.2","-0.7","-9.5","0.8","30,000","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sewing machine operators    * Blind Stitch Machine Operator* Button Sewing Machine Operator* Carpet Sewing Machine Operator* Custom T-Shirt Embroidery Machine Operator* Embroidery Machine Operator* Hemming and Tacking Machine Operator* Ultrasonic Seaming Machine Operator","=""51-6031""","133.5","114.8","-18.6","-14.0","12.2","28,230","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Shampooers    * Scalp Treatment Specialist* Shampoo Assistant* Shampoo Technician* Shampooer","=""39-5093""","10.8","14.1","3.2","29.8","1.6","24,190","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Sheet metal workers    * Air Conditioning Sheet Metal Installer* Heating, Ventilation, and Air Conditioning  (HVAC) Sheet Metal Installer* Sheet Metal Duct Installer* Sheet Metal Fabricator* Sheet Metal Former* Sheet Metal Installer* Sheet Metal Layout Mechanic* Sheet Metal Layout Worker* Sheet Metal Worker* Tinsmith","=""47-2211""","135.4","140.2","4.8","3.6","13.1","51,370","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Ship engineers    * Barge Engineer* Ferry Engineer* Towboat Engineer* Tug Boat Engineer* Tugboat Engineer","=""53-5031""","7.8","8.4","0.6","8.2","1.0","75,990","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Shipping, receiving, and inventory clerks    * Freight Clerk* Incoming Freight Clerk* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Store Receiving Clerk","=""43-5071""","734.9","694.3","-40.6","-5.5","64.0","35,260","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoemaker","=""51-6041""","8.7","7.5","-1.2","-14.0","0.8","30,550","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer","=""51-6042""","5.0","3.9","-1.1","-21.6","0.4","30,630","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Signal and track switch repairers    * Electric Track Switch Maintainer* Light Rail Signal Technician* Rail Signal Mechanic* Railway Signal Technician* Third Rail Installer* Train Control Electronic Technician* Train Control Technician","=""49-9097""","6.6","7.0","0.4","5.6","0.7","76,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician","=""39-5094""","68.7","88.4","19.8","28.8","10.1","36,510","Postsecondary nondegree award","5","None","4","None","6"
"Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer","=""51-3023""","79.7","83.1","3.4","4.3","9.7","30,710","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director","=""11-9151""","174.2","200.7","26.4","15.2","18.3","69,600","Bachelor's degree","3","Less than 5 years","2","None","6"
"Social and human service assistants    * Addictions Counselor Assistant* Case Work Aide* Clinical Social Work Aide* Family Service Assistant* Human Services Worker* Social Work Assistant","=""21-1093""","417.6","487.1","69.5","16.6","59.1","35,960","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
