,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
515,29-1171,Nurse Practitioners,detailed,200600,53.77,52.8,109820,2019
517,29-1181,Audiologists,detailed,13590,40.34,37.31,77600,2019
518,29-1211,Anesthesiologists,detailed,31010,125.83,#,#,2019
519,29-1215,Family Medicine Physicians,detailed,109370,102.53,98.84,205590,2019
520,29-1216,General Internal Medicine Physicians,detailed,44610,96.85,96.92,201590,2019
521,29-1218,Obstetricians and Gynecologists,detailed,18620,112.31,#,#,2019
522,29-1221,"Pediatricians, General",detailed,29740,88.66,84.28,175310,2019
523,29-1223,Psychiatrists,detailed,25530,105.98,#,#,2019
524,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,390680,97.81,99.28,206500,2019
525,29-1248,"Surgeons, Except Ophthalmologists",detailed,36270,121.17,#,#,2019
527,29-1292,Dental Hygienists,detailed,221560,37.13,36.65,76220,2019
528,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,36500,42.82,36.37,75640,2019
529,29-2000,Health Technologists and Technicians,minor,2902300,22.86,21.34,44380,2019
530,29-2010,Clinical Laboratory Technologists and Technicians,detailed,326020,26.34,25.54,53120,2019
532,29-2031,Cardiovascular Technologists and Technicians,detailed,56110,28.66,27.75,57720,2019
533,29-2032,Diagnostic Medical Sonographers,detailed,72790,36.44,35.73,74320,2019
534,29-2033,Nuclear Medicine Technologists,detailed,18110,38.58,37.48,77950,2019
535,29-2034,Radiologic Technologists and Technicians,detailed,207360,30.34,29.09,60510,2019
536,29-2035,Magnetic Resonance Imaging Technologists,detailed,37900,35.7,35.3,73410,2019
537,29-2040,Emergency Medical Technicians and Paramedics,detailed,260600,18.67,17.02,35400,2019
540,29-2051,Dietetic Technicians,detailed,29230,14.99,13.66,28400,2019
541,29-2052,Pharmacy Technicians,detailed,417780,16.95,16.32,33950,2019
542,29-2053,Psychiatric Technicians,detailed,78470,18.05,16.24,33780,2019
543,29-2055,Surgical Technologists,detailed,109000,24.09,23.22,48300,2019
544,29-2056,Veterinary Technologists and Technicians,detailed,110650,17.63,16.98,35320,2019
545,29-2057,Ophthalmic Medical Technicians,detailed,58600,18.64,17.76,36940,2019
547,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,697510,23.32,22.83,47480,2019
549,29-2081,"Opticians, Dispensing",detailed,72330,19.58,18.19,37840,2019
550,29-2091,Orthotists and Prosthetists,detailed,9830,35.01,32.89,68410,2019
551,29-2092,Hearing Aid Specialists,detailed,8210,26.62,25.68,53420,2019
552,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",detailed,331790,22.4,20.5,42630,2019
553,29-9000,Other Healthcare Practitioners and Technical Occupations,minor,85340,27.22,23.93,49770,2019
554,29-9091,Athletic Trainers,detailed,28600,*,*,48440,2019
555,29-9092,Genetic Counselors,detailed,2390,40.54,39.36,81880,2019
556,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",detailed,54350,28.17,23.97,49850,2019
557,31-0000,Healthcare Support Occupations,major,6521790,14.91,13.69,28470,2019
558,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",minor,4683430,13.39,12.68,26380,2019
559,31-1120,Home Health and Personal Care Aides,detailed,3161500,12.71,12.15,25280,2019
562,31-1131,Nursing Assistants,detailed,1419920,14.77,14.26,29660,2019
563,31-1132,Orderlies,detailed,46990,14.76,13.93,28980,2019
564,31-1133,Psychiatric Aides,detailed,55020,15.67,14.96,31110,2019
565,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,198660,24.56,25.44,52910,2019
567,31-2011,Occupational Therapy Assistants,detailed,44990,29.75,29.57,61510,2019
568,31-2012,Occupational Therapy Aides,detailed,7560,16.5,14.05,29230,2019
570,31-2021,Physical Therapist Assistants,detailed,96840,28.14,28.26,58790,2019
571,31-2022,Physical Therapist Aides,detailed,49270,14.03,12.98,27000,2019
572,31-9000,Other Healthcare Support Occupations,minor,1639700,18.07,17.24,35860,2019
574,31-9011,Massage Therapists,detailed,107240,22.68,20.59,42820,2019
576,31-9091,Dental Assistants,detailed,351470,19.79,19.27,40080,2019
577,31-9092,Medical Assistants,detailed,712430,17.17,16.73,34800,2019
578,31-9093,Medical Equipment Preparers,detailed,56900,19.01,18,37440,2019
579,31-9094,Medical Transcriptionists,detailed,55780,16.93,16.05,33380,2019
580,31-9095,Pharmacy Aides,detailed,37280,14.66,13.39,27850,2019
581,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,97030,14.28,13.75,28590,2019
582,31-9097,Phlebotomists,detailed,128290,17.54,17.07,35510,2019
583,31-9099,"Healthcare Support Workers, All Other",detailed,93270,19.24,18.49,38460,2019
584,33-0000,Protective Service Occupations,major,3498800,23.98,19.99,41580,2019
585,33-1000,Supervisors of Protective Service Workers,minor,319960,37.31,34.35,71460,2019
587,33-1011,First-Line Supervisors of Correctional Officers,detailed,46430,33.18,30.64,63730,2019
588,33-1012,First-Line Supervisors of Police and Detectives,detailed,121340,45.65,43.79,91090,2019
590,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,69590,39.43,37.4,77800,2019
591,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",detailed,82590,25.58,24.27,50490,2019
593,33-2000,Firefighting and Prevention Workers,minor,340490,26.46,24.68,51330,2019
595,33-2011,Firefighters,detailed,324620,26.27,24.45,50850,2019
597,33-2021,Fire Inspectors and Investigators,detailed,13710,31.12,29.65,61660,2019
598,33-2022,Forest Fire Inspectors and Prevention Specialists,detailed,2160,25.65,21.77,45270,2019
599,33-3000,Law Enforcement Workers,minor,1232740,30.17,27.42,57030,2019
601,33-3011,Bailiffs,detailed,19650,24.92,22.99,47830,2019
602,33-3012,Correctional Officers and Jailers,detailed,423050,24.1,21.72,45180,2019
604,33-3021,Detectives and Criminal Investigators,detailed,105620,41.36,39.99,83170,2019
606,33-3031,Fish and Game Wardens,detailed,6800,27.73,27.64,57500,2019
608,33-3041,Parking Enforcement Workers,detailed,7650,20.88,19.67,40920,2019
610,33-3051,Police and Sheriff's Patrol Officers,detailed,665280,32.5,30.36,63150,2019
611,33-3052,Transit and Railroad Police,detailed,4690,34.19,34.53,71820,2019
612,33-9000,Other Protective Service Workers,minor,1605610,16.05,14.31,29770,2019
614,33-9011,Animal Control Workers,detailed,11980,19.09,18.07,37590,2019
616,33-9021,Private Detectives and Investigators,detailed,35000,27.4,24.28,50510,2019
618,33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,10280,18.28,16.44,34190,2019
619,33-9032,Security Guards,detailed,1126370,15.88,14.27,29680,2019
621,33-9091,Crossing Guards and Flaggers,detailed,84920,15.83,14.31,29760,2019
622,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,143940,12.2,11.26,23420,2019
623,33-9093,Transportation Security Screeners,detailed,46730,20.34,20.08,41770,2019
624,33-9098,"School Bus Monitors and Protective Service Workers, All Other",detailed,146390,16.77,14.9,30990,2019
625,35-0000,Food Preparation and Serving Related Occupations,major,13494590,12.82,11.65,24220,2019
626,35-1000,Supervisors of Food Preparation and Serving Workers,minor,1139290,18.82,16.74,34830,2019
628,35-1011,Chefs and Head Cooks,detailed,128190,27.07,24.78,51530,2019
629,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,1011100,17.77,16.06,33400,2019
630,35-2000,Cooks and Food Preparation Workers,minor,3367740,13.03,12.45,25890,2019
632,35-2011,"Cooks, Fast Food",detailed,527220,11.31,11.3,23510,2019
633,35-2012,"Cooks, Institution and Cafeteria",detailed,402480,13.96,13.34,27750,2019
634,35-2013,"Cooks, Private Household",detailed,390,21.92,18.21,37870,2019
635,35-2014,"Cooks, Restaurant",detailed,1401890,13.8,13.36,27790,2019
636,35-2015,"Cooks, Short Order",detailed,152670,12.62,12.09,25150,2019
637,35-2019,"Cooks, All Other",detailed,19340,15.5,14.79,30760,2019
639,35-2021,Food Preparation Workers,detailed,863740,12.41,11.92,24800,2019
640,35-3000,Food and Beverage Serving Workers,minor,7500280,12.01,11.02,22930,2019
642,35-3011,Bartenders,detailed,646850,13.46,11.39,23680,2019
644,35-3023,Fast Food and Counter Workers,detailed,3996820,11.18,10.93,22740,2019
646,35-3031,Waiters and Waitresses,detailed,2579020,12.88,11,22890,2019
648,35-3041,"Food Servers, Nonrestaurant",detailed,277580,12.54,11.74,24430,2019
649,35-9000,Other Food Preparation and Serving Related Workers,minor,1487290,11.82,11.37,23650,2019
651,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,477270,12.03,11.28,23470,2019
653,35-9021,Dishwashers,detailed,514330,11.74,11.53,23970,2019
655,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,423380,11.54,11.1,23090,2019
657,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,72300,12.74,12.01,24970,2019
658,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4429100,15.03,13.62,28330,2019
659,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor,259140,22.8,21.39,44490,2019
661,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,155550,21.23,19.61,40780,2019
662,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,103580,25.16,23.73,49370,2019
663,37-2000,Building Cleaning and Pest Control Workers,minor,3170010,14.11,12.78,26570,2019
665,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,2145450,14.43,13.19,27430,2019
666,37-2012,Maids and Housekeeping Cleaners,detailed,926960,12.89,11.95,24850,2019
667,37-2019,"Building Cleaning Workers, All Other",detailed,18150,16.96,15.01,31230,2019
669,37-2021,Pest Control Workers,detailed,79450,19.19,17.95,37330,2019
670,37-3000,Grounds Maintenance Workers,minor,999960,15.91,14.85,30890,2019
672,37-3011,Landscaping and Groundskeeping Workers,detailed,912660,15.56,14.63,30440,2019
673,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,25780,18.86,17.23,35840,2019
674,37-3013,Tree Trimmers and Pruners,detailed,47210,20.44,19.22,39980,2019
675,37-3019,"Grounds Maintenance Workers, All Other",detailed,14310,18.21,15.43,32090,2019
676,39-0000,Personal Care and Service Occupations,major,3303200,15.03,12.61,26220,2019
677,39-1000,Supervisors of Personal Care and Service Workers,minor,247100,21.35,19.68,40930,2019
678,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,29420,24.93,24.38,50710,2019
679,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",detailed,217680,20.86,19.14,39800,2019
680,39-2000,Animal Care and Service Workers,minor,228980,13.33,12.02,24990,2019
682,39-2011,Animal Trainers,detailed,16530,17.43,14.63,30430,2019
684,39-2021,Animal Caretakers,detailed,212450,13.01,11.91,24780,2019
685,39-3000,Entertainment Attendants and Related Workers,minor,628090,12.05,11.18,23260,2019
687,39-3011,Gambling Dealers,detailed,98890,11.53,10.22,21260,2019
688,39-3012,Gambling and Sports Book Writers and Runners,detailed,9970,13.38,11.9,24750,2019
689,39-3019,"Gambling Service Workers, All Other",detailed,10470,15.38,13.61,28300,2019
691,39-3021,Motion Picture Projectionists,detailed,4540,14.37,12.09,25150,2019
693,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,138160,11.96,11.3,23500,2019
695,39-3091,Amusement and Recreation Attendants,detailed,338110,11.7,11.23,23370,2019
696,39-3092,Costume Attendants,detailed,7460,23.55,19.91,41410,2019
697,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,15990,13.57,12.07,25110,2019
698,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,4500,15.28,12.72,26460,2019
699,39-4011,Embalmers,detailed,3890,24.09,22.96,47760,2019
701,39-4021,Funeral Attendants,detailed,34370,14.34,13.43,27930,2019
703,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,25440,28.06,26.04,54150,2019
704,39-5000,Personal Appearance Workers,minor,589960,15.24,12.71,26430,2019
706,39-5011,Barbers,detailed,20030,16.92,14.5,30150,2019
707,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,385960,15.16,12.54,26090,2019
709,39-5091,"Makeup Artists, Theatrical and Performance",detailed,3400,39.23,36.41,75730,2019
710,39-5092,Manicurists and Pedicurists,detailed,111780,13.17,12.39,25770,2019
711,39-5093,Shampooers,detailed,12120,11.02,10.84,22550,2019
712,39-5094,Skincare Specialists,detailed,56660,18.74,16.39,34090,2019
713,39-6000,"Baggage Porters, Bellhops, and Concierges",minor,81460,15.06,13.73,28550,2019
715,39-6011,Baggage Porters and Bellhops,detailed,39790,13.57,12.3,25580,2019
716,39-6012,Concierges,detailed,41670,16.48,15.09,31390,2019
717,39-7000,Tour and Travel Guides,minor,48710,14.74,13.27,27600,2019
718,39-7010,Tour and Travel Guides,detailed,48710,14.74,13.27,27600,2019
721,39-9011,Childcare Workers,detailed,561520,12.27,11.65,24230,2019
723,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,325500,21.69,19.42,40390,2019
724,39-9032,Recreation Workers,detailed,358750,14.1,12.67,26350,2019
726,39-9041,Residential Advisors,detailed,107930,15.2,14.16,29450,2019
727,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",detailed,61510,14.03,13.04,27130,2019
728,41-0000,Sales and Related Occupations,major,14371410,20.7,14.24,29630,2019
729,41-1000,Supervisors of Sales Workers,minor,1420990,25.43,21.27,44250,2019
731,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,1171900,22.03,19.4,40350,2019
732,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,249090,41.43,35.94,74760,2019
733,41-2000,Retail Sales Workers,minor,8603590,13.27,11.84,24630,2019
735,41-2011,Cashiers,detailed,3596630,11.72,11.37,23650,2019
736,41-2012,Gambling Change Persons and Booth Cashiers,detailed,21290,13.46,12.35,25690,2019
738,41-2021,Counter and Rental Clerks,detailed,411560,15.67,13.86,28820,2019
739,41-2022,Parts Salespersons,detailed,256170,16.93,15.24,31710,2019
741,41-2031,Retail Salespersons,detailed,4317950,14.12,12.14,25250,2019
742,41-3000,"Sales Representatives, Services",minor,2084000,34.45,26.62,55370,2019
744,41-3011,Advertising Sales Agents,detailed,129740,31.09,25.63,53310,2019
746,41-3021,Insurance Sales Agents,detailed,410050,32.59,24.49,50940,2019
748,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,437880,44.75,29.94,62270,2019
750,41-3041,Travel Agents,detailed,66670,21.49,19.55,40660,2019
752,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,1039670,32.1,26.99,56130,2019
753,41-4000,"Sales Representatives, Wholesale and Manufacturing",minor,1651500,36.14,30.29,63000,2019
755,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,306980,44.7,38.95,81020,2019
756,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,1344530,34.19,28.81,59930,2019
757,41-9000,Other Sales and Related Workers,minor,611330,25.72,17.89,37220,2019
759,41-9011,Demonstrators and Product Promoters,detailed,77760,16.98,14.87,30930,2019
760,41-9012,Models,detailed,2320,17.52,13.63,28350,2019
762,41-9021,Real Estate Brokers,detailed,42730,39.16,28.71,59720,2019
763,41-9022,Real Estate Sales Agents,detailed,162330,29.83,23.53,48930,2019
765,41-9031,Sales Engineers,detailed,63550,54.22,49.95,103900,2019
767,41-9041,Telemarketers,detailed,134800,14.31,12.64,26290,2019
769,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,8930,16.9,13.19,27420,2019
770,41-9099,"Sales and Related Workers, All Other",detailed,118910,19.53,15.3,31820,2019
771,43-0000,Office and Administrative Support Occupations,major,19528250,19.73,18.07,37580,2019
772,43-1000,Supervisors of Office and Administrative Support Workers,minor,1487870,28.91,27.22,56620,2019
774,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,1487870,28.91,27.22,56620,2019
775,43-2000,Communications Equipment Operators,minor,76030,16.29,14.94,31070,2019
777,43-2011,"Switchboard Operators, Including Answering Service",detailed,68050,15.88,14.72,30610,2019
779,43-2021,Telephone Operators,detailed,4740,18.24,17.19,35750,2019
781,43-2099,"Communications Equipment Operators, All Other",detailed,3240,22.14,20.57,42790,2019
782,43-3000,Financial Clerks,minor,2910660,19.6,18.52,38510,2019
784,43-3011,Bill and Account Collectors,detailed,235870,18.9,17.79,37000,2019
786,43-3021,Billing and Posting Clerks,detailed,466450,19.53,18.63,38740,2019
788,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,1512660,20.65,19.82,41230,2019
790,43-3041,Gambling Cage Workers,detailed,14330,14.23,13.48,28040,2019
792,43-3051,Payroll and Timekeeping Clerks,detailed,142700,22.79,22.2,46180,2019
794,43-3061,Procurement Clerks,detailed,66030,21.14,20.82,43310,2019
796,43-3071,Tellers,detailed,442120,15.22,15.02,31230,2019
798,43-3099,"Financial Clerks, All Other",detailed,30500,21.51,20.4,42420,2019
799,43-4000,Information and Record Clerks,minor,5780040,17.59,16.37,34050,2019
801,43-4011,Brokerage Clerks,detailed,47990,26.53,25.36,52750,2019
803,43-4021,Correspondence Clerks,detailed,6250,19.03,18.34,38140,2019
805,43-4031,"Court, Municipal, and License Clerks",detailed,154020,20.21,18.93,39380,2019
807,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,26700,20.13,19.28,40100,2019
809,43-4051,Customer Service Representatives,detailed,2919230,17.94,16.69,34710,2019
811,43-4061,"Eligibility Interviewers, Government Programs",detailed,139780,22.65,22.4,46590,2019
813,43-4071,File Clerks,detailed,102300,16.64,15.73,32710,2019
815,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,267940,12.47,11.76,24470,2019
817,43-4111,"Interviewers, Except Eligibility and Loan",detailed,188570,17.49,16.81,34970,2019
819,43-4121,"Library Assistants, Clerical",detailed,85910,14.34,13.22,27490,2019
821,43-4131,Loan Interviewers and Clerks,detailed,208530,20.17,19.54,40640,2019
823,43-4141,New Accounts Clerks,detailed,43420,18.5,17.57,36550,2019
825,43-4151,Order Clerks,detailed,137180,17.6,16.46,34240,2019
827,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,117340,20.49,19.92,41430,2019
829,43-4171,Receptionists and Information Clerks,detailed,1057370,15.02,14.45,30050,2019
831,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,123660,21.34,18.45,38380,2019
833,43-4199,"Information and Record Clerks, All Other",detailed,153850,20.39,19.89,41360,2019
834,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,2155080,21.13,19.39,40320,2019
836,43-5011,Cargo and Freight Agents,detailed,95810,22.48,21.03,43740,2019
838,43-5021,Couriers and Messengers,detailed,74720,15.21,14.28,29690,2019
840,43-5031,Public Safety Telecommunicators,detailed,95320,21.31,20.15,41910,2019
841,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,199360,21.2,19.32,40190,2019
843,43-5041,"Meter Readers, Utilities",detailed,30450,22.23,20.33,42280,2019
845,43-5051,Postal Service Clerks,detailed,81170,24.33,23.23,48330,2019
846,43-5052,Postal Service Mail Carriers,detailed,339650,25.09,24.67,51310,2019
847,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,102390,24.61,28.91,60140,2019
849,43-5061,"Production, Planning, and Expediting Clerks",detailed,370380,24.35,23.2,48260,2019
851,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,704910,17.32,16.44,34190,2019
853,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,60920,17.62,16.85,35040,2019
854,43-6000,Secretaries and Administrative Assistants,minor,3353950,20.87,19.16,39850,2019
856,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,542690,30.25,29.27,60890,2019
857,43-6012,Legal Secretaries and Administrative Assistants,detailed,168140,24.47,22.74,47300,2019
858,43-6013,Medical Secretaries and Administrative Assistants,detailed,604780,18.31,17.59,36580,2019
859,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,2038340,18.84,18.12,37690,2019
860,43-9000,Other Office and Administrative Support Workers,minor,3764620,17.75,16.67,34670,2019
862,43-9021,Data Entry Keyers,detailed,159930,16.74,16.1,33490,2019
863,43-9022,Word Processors and Typists,detailed,47460,20.13,19.39,40340,2019
865,43-9031,Desktop Publishers,detailed,8740,23.43,21.82,45390,2019
867,43-9041,Insurance Claims and Policy Processing Clerks,detailed,257000,20.81,19.59,40750,2019
869,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,83580,15.68,14.89,30960,2019
871,43-9061,"Office Clerks, General",detailed,2956060,17.48,16.37,34040,2019
873,43-9071,"Office Machine Operators, Except Computer",detailed,45960,16.9,16.08,33450,2019
875,43-9081,Proofreaders and Copy Markers,detailed,7730,20.77,19.54,40630,2019
877,43-9111,Statistical Assistants,detailed,9810,24.83,23.97,49870,2019
879,43-9199,"Office and Administrative Support Workers, All Other",detailed,188360,18.41,17.05,35470,2019
880,45-0000,"Farming, Fishing, and Forestry Occupations",major,484750,15.07,13.07,27180,2019
881,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",minor,22560,25.25,23.21,48280,2019
883,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,22560,25.25,23.21,48280,2019
884,45-2000,Agricultural Workers,minor,415390,14,12.52,26030,2019
886,45-2011,Agricultural Inspectors,detailed,13760,22.67,21.87,45490,2019
888,45-2021,Animal Breeders,detailed,1610,22.32,20.64,42920,2019
890,45-2041,"Graders and Sorters, Agricultural Products",detailed,34340,13.25,12.34,25670,2019
892,45-2091,Agricultural Equipment Operators,detailed,26990,16.01,15.36,31950,2019
893,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,295520,13.36,12.23,25440,2019
894,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,36630,14.37,13.38,27830,2019
895,45-2099,"Agricultural Workers, All Other",detailed,6540,16.31,14.23,29590,2019
896,45-4000,"Forest, Conservation, and Logging Workers",minor,44720,19.78,18.79,39090,2019
898,45-4011,Forest and Conservation Workers,detailed,6760,15.76,15.27,31770,2019
900,45-4021,Fallers,detailed,4890,23.88,21.46,44650,2019
901,45-4022,Logging Equipment Operators,detailed,26030,20.22,19.92,41440,2019
902,45-4023,Log Graders and Scalers,detailed,3300,18.8,17.92,37280,2019
903,45-4029,"Logging Workers, All Other",detailed,3750,19.42,19.12,39780,2019
904,47-0000,Construction and Extraction Occupations,major,6194140,25.28,22.8,47430,2019
905,47-1000,Supervisors of Construction and Extraction Workers,minor,626180,34.35,31.83,66210,2019
907,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,626180,34.35,31.83,66210,2019
908,47-2000,Construction Trades Workers,minor,4617440,24.68,22.28,46340,2019
910,47-2011,Boilermakers,detailed,15820,31.27,30.34,63100,2019
912,47-2021,Brickmasons and Blockmasons,detailed,60650,27.15,25.53,53100,2019
913,47-2022,Stonemasons,detailed,12390,23.11,20.81,43280,2019
915,47-2031,Carpenters,detailed,734170,25.41,23.24,48330,2019
917,47-2041,Carpet Installers,detailed,26010,21.79,19.27,40090,2019
918,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,16290,23.37,21.27,44240,2019
919,47-2043,Floor Sanders and Finishers,detailed,4940,20.34,19.04,39610,2019
920,47-2044,Tile and Stone Setters,detailed,40470,22.74,20.7,43050,2019
922,47-2051,Cement Masons and Concrete Finishers,detailed,196120,23.24,21.54,44810,2019
923,47-2053,Terrazzo Workers and Finishers,detailed,2970,27.09,25.09,52180,2019
925,47-2061,Construction Laborers,detailed,1020350,20.06,17.72,36860,2019
927,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,45770,21.46,19.29,40130,2019
928,47-2072,Pile Driver Operators,detailed,3540,33.76,30.1,62600,2019
929,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,405750,26.06,23.55,48980,2019
931,47-2081,Drywall and Ceiling Tile Installers,detailed,102850,24.31,21.97,45700,2019
932,47-2082,Tapers,detailed,17970,29.59,28.4,59070,2019
934,47-2111,Electricians,detailed,688620,29.02,27.01,56180,2019
936,47-2121,Glaziers,detailed,52400,23.95,21.46,44630,2019
938,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,33550,21.68,19.41,40380,2019
939,47-2132,"Insulation Workers, Mechanical",detailed,26670,26.02,23.41,48690,2019
941,47-2141,"Painters, Construction and Maintenance",detailed,232760,21.46,19.37,40280,2019
942,47-2142,Paperhangers,detailed,3380,21.38,19.48,40520,2019
944,47-2151,Pipelayers,detailed,36270,20.96,18.66,38820,2019
945,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,442870,28.75,26.52,55160,2019
947,47-2161,Plasterers and Stucco Masons,detailed,27360,23.9,21.85,45440,2019
949,47-2171,Reinforcing Iron and Rebar Workers,detailed,18870,26.27,23.6,49100,2019
951,47-2181,Roofers,detailed,129690,22.03,20.24,42100,2019
953,47-2211,Sheet Metal Workers,detailed,131300,26.19,24.23,50400,2019
955,47-2221,Structural Iron and Steel Workers,detailed,76570,28.45,26.46,55040,2019
957,47-2231,Solar Photovoltaic Installers,detailed,11080,22.52,21.58,44890,2019
958,47-3000,"Helpers, Construction Trades",minor,242400,16.49,15.73,32720,2019
960,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,23480,18.48,17.02,35410,2019
961,47-3012,Helpers--Carpenters,detailed,32920,16.26,15.89,33060,2019
962,47-3013,Helpers--Electricians,detailed,79260,16.49,15.78,32830,2019
963,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,10850,15.83,15.07,31340,2019
964,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,58400,16.23,15.43,32100,2019
965,47-3016,Helpers--Roofers,detailed,8960,16.04,15.44,32110,2019
966,47-3019,"Helpers, Construction Trades, All Other",detailed,28530,16.06,15.34,31910,2019
967,47-4000,Other Construction and Related Workers,minor,437730,24.81,22.36,46510,2019
969,47-4011,Construction and Building Inspectors,detailed,110420,30.96,29.19,60710,2019
971,47-4021,Elevator and Escalator Installers and Repairers,detailed,28350,40.02,40.86,84990,2019
973,47-4031,Fence Erectors,detailed,25900,18.56,17.21,35800,2019
975,47-4041,Hazardous Materials Removal Workers,detailed,44240,22.95,21.11,43900,2019
977,47-4051,Highway Maintenance Workers,detailed,150860,20.39,19.58,40730,2019
979,47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,16180,27.48,26.97,56100,2019
981,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,29750,20.56,19.17,39870,2019
982,47-4090,Miscellaneous Construction and Related Workers,detailed,32040,21.17,19.1,39720,2019
984,47-5000,Extraction Workers,minor,270390,23.16,21.61,44940,2019
986,47-5011,"Derrick Operators, Oil and Gas",detailed,12110,23.09,22.59,46990,2019
987,47-5012,"Rotary Drill Operators, Oil and Gas",detailed,21010,27.44,26.43,54980,2019
988,47-5013,"Service Unit Operators, Oil and Gas",detailed,51760,24.71,22.47,46740,2019
989,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed,44090,23.36,21.54,44800,2019
990,47-5041,Continuous Mining Machine Operators,detailed,14630,27.18,26.58,55280,2019
991,47-5043,"Roof Bolters, Mining",detailed,3140,28.63,28.41,59090,2019
992,47-5044,"Loading and Moving Machine Operators, Underground Mining",detailed,4200,25.83,26.06,54210,2019
